Name,School,Draft,NFL Team,Awards,Year
Brock Berlin,FloridaMiami (FL)[6],Undrafted,Miami DolphinsDallas CowboysSt. Louis RamsDetroit Lions,1997 ESPN RISE National High School Sophomore Player of the YearElite 11 MVP1999 USA Today National Offensive High School Player of the Year2000Gatorade National Player of the Year,1999
Matt Cassel,USC[7],2005 Rd. 7,New England PatriotsKansas City ChiefsMinnesota VikingsBuffalo BillsDallas CowboysTennessee Titans[8]Detroit Lions,"2x National Champion (2003,2004)",1999
Casey Clausen,Tennessee[9],Undrafted,Kansas City Chiefs[9],2002 Florida Citrus BowlMVP,1999
Matt LoVecchio,Notre DameIndiana,Undrafted,New York Giants,None,1999
Chance Mock,Texas[10],Undrafted,None,None,1999
John Rattay,TennesseeArizonaPasadena City,Undrafted,None,None,1999
Chris Rix,Florida State,Undrafted,None,2001ACC Freshman of the Year,1999
Jeff Smoker,Michigan State[11],2004 Rd. 6,St. Louis RamsPhiladelphia EaglesKansas City Chiefs[11],2003 All-Big Ten Second Team by Coaches and Media,1999
Jon Van Cleave,Louisiana-Lafayette,Undrafted,None,None,1999
Zac Wasserman,Penn StateLos Angeles ValleyCalifornia,Undrafted,None,None,1999
Roman Ybarra,UCLAPalomarIdaho State,Undrafted,None,None,1999
Derek Anderson,Oregon State,2005 Rd. 6,Baltimore RavensCleveland BrownsArizona CardinalsCarolina Panthers[13]Buffalo Bills,2004 All-Pac-10 Second Team2004 Insight BowlOffensive MVP2008 Pro BowlSelection,2000
Kellen Clemens,Oregon,2006 Rd. 2,New York JetsWashington RedskinsHouston TexansSt. Louis RamsSan Diego/Los Angeles Chargers,None,2000
Nic Costa,ArizonaPortland State,Undrafted,None,None,2000
Brodie Croyle,Alabama[14],2006 Rd. 3,Kansas City ChiefsArizona Cardinals[14],Elite 11 MVP2006 Cotton Bowl ClassicMVP,2000
Billy Hart,USC,Undrafted,None,None,2000
Matt Leinart,USC[7],2006 Rd. 1,Arizona CardinalsHouston TexansOakland RaidersBuffalo Bills[15],"2004Heisman Trophy2004Walter Camp Award2004Johnny Unitas Golden Arm Award2004Manning Award2xCollege Football Quarterback of the Year Award(2004, 2005)2004Associated Press College Football Player of the Year Award2004 Rose BowlMVP2x National Champion (2003, 2004)2005 Orange BowlMVP",2000
Ingle Martin,FloridaFurman,2006 Rd. 5,Green Bay PackersTennessee TitansKansas City ChiefsDenver Broncos[16],None,2000
Adrian McPherson,Florida State,2005 Rd. 5,New Orleans Saints,None,2000
Kyle Orton,Purdue,2005 Rd. 4,Chicago BearsDenver BroncosKansas City ChiefsDallas CowboysBuffalo Bills[17],2004 All-Big Ten First Team by Media & Second Team by Coaches,2000
Casey Paus,Washington,Undrafted,None,None,2000
D. J. Shockley,Georgia[18],2006 Rd. 7,Atlanta Falcons[18],2005 All-SEC First Team by AP & Second Team by Coaches,2000
Paul Troth,East CarolinaLiberty,Undrafted,None,None,2000
Gavin Dickey,Florida,Undrafted,None,None,2001
Trent Edwards,Stanford,2007 Rd. 3,Buffalo BillsJacksonville JaguarsOakland RaidersPhiladelphia EaglesChicago Bears[20],None,2001
Matt Gutierrez,MichiganIdaho State[21],Undrafted,New England PatriotsKansas City ChiefsChicago BearsWashington Redskins[21]St. Louis Rams[22],None,2001
Anthony Martinez,Virginia,Undrafted,None,None,2001
Ryan O'Hara,ArizonaScottsdale CCCentral Oklahoma[23],Undrafted,None,None,2001
Ben Olson,BYUUCLA,Undrafted,None,Elite 11 MVP,2001
Drew Olson,UCLA[24],Undrafted,Baltimore RavensCarolina PanthersSan Francisco 49ers[24],2005 All-Pac-10 Second Team,2001
Tyler Palko,Pittsburgh[25],Undrafted,New Orleans SaintsArizona CardinalsPittsburgh SteelersKansas City Chiefs[25],2004 All-Big East Second Team2005 All-Big East Second Team,2001
Troy Smith,Ohio State,2007 Rd. 5,Baltimore RavensSan Francisco 49ersPittsburgh Steelers,2006Heisman Trophy2006Associated Press College Football Player of the Year Award2006College Football Quarterback of the Year Award2006Walter Camp Award2006Davey O'Brien Award2006 Fiesta BowlMVP,2001
Drew Stanton,Michigan State,2007 Rd. 2,Detroit LionsNew York JetsIndianapolis ColtsArizona CardinalsCleveland BrownsTampa Bay Buccaneers,Super Bowl champion (2020),2001
Vince Young,Texas[10],2006 Rd. 1,Tennessee TitansPhiladelphia EaglesBuffalo BillsGreen Bay PackersCleveland Browns[26],"2003Big 12 Offensive Freshman of the Year2005Maxwell Award2005Manning Award2005Davey O'Brien Award2005 National Champion2xRose BowlMVP (2005,2006)2005Big 12 Offensive Player of the Year2006AP NFL Offensive Rookie of the Year2006Diet Pepsi NFL Rookie of the Year2007 Pro BowlSelection",2001
Justin Zwick,Ohio State[27],Undrafted,Carolina Panthers[27],None,2001
Mike Affleck,Arizona StateBYUDixie StateUtah State[29],Undrafted,None,None,2002
Dennis Dixon,Oregon,2008 Rd. 5,Pittsburgh SteelersBaltimore RavensPhiladelphia EaglesBuffalo BillsArizona Cardinals,2007Pac-10 Offensive Player of the YearSuper Bowl XLIIIChampion,2002
Tommy Grady,OklahomaUtah,Undrafted,Miami Dolphins,"First-Team All-Arena QB (2012)AFL Offensive Player of the Year(2012)National GuardMVP of the Year (2012)AFL Single Season Record for touchdown passes (142 in 2012)AFL Single Season Record for passing yards (5,863 in 2102)AFL Single Season Record for passing completions (508 in 2012)AFL Single Game Record for touchdown passes (12 in 2012)",2002
Robert Lane,Ole Miss,Undrafted,None,None,2002
Chris Leak,Florida[30],Undrafted,Chicago Bears[30],2000 ESPN RISE National High School Sophomore Player of the Year2001 ESPN RISE National High School Junior Player of the Year2002Hall Trophy2002 USA Today National Offensive High School Player of the Year2006 All-SEC Second Team by Coaches2006 National Champion2007 BCS National Championship GameMVP,2002
Justin Midgett,FloridaEastern Illinois,Undrafted,None,None,2002
Blake Mitchell,South Carolina,Undrafted,None,None,2002
T. C. Ostrander,Stanford,Undrafted,New Orleans Saints[31],None,2002
Clayton Richard,Michigan,Undrafted,None,PitcherforChicago White SoxandSan Diego Padres,2002
JaMarcus Russell,LSU,2007 Rd. 1,Oakland Raiders[32],2003 National Champion2006 All-SEC First Team by Coaches and AP2006Manning Award2007 NFL DraftNumber One Overall Selection,2002
Andre' Woodson,Kentucky,2008 Rd. 6,New York GiantsWashington Redskins[33],"2xMusic City BowlMVP (2006,2007)2006 All-SEC Second Team by Coaches and AP2007 All-SEC Second Team by Coaches and AP",2002
Kyle Wright,Miami (FL)[34],Undrafted,Minnesota VikingsSan Francisco 49ers[34],Elite 11 MVP2003Gatorade National Player of the Year,2002
Rhett Bomar,OklahomaSam Houston State[36],2009 Rd. 5,New York GiantsMinnesota Vikings[37]Oakland Raiders[38],2002Rivals.comHigh School Junior of the YearElite 11 co-MVP2005 Holiday BowlOffensive MVP,2003
John David Booty,USC,2008 Rd. 5,Minnesota VikingsTennessee TitansHouston Texans,"2001 ESPN RISE National High School Sophomore Player of the Year2006 All-Pac-10 First Team2008 Rose BowlOffensive MVP2x National Champion (2003, 2004)",2003
A.J. Bryant,Georgia,Undrafted,None,None,2003
Kirby Freeman,Miami (FL)Baylor,Undrafted,San Francisco 49ers[39],2006 MPC Computers BowlMVP,2003
Brian Hildebrand,Oregon StateMt. San AntonioNebraska[40]Humboldt State[41],Undrafted,None,None,2003
Cornelius Ingram,Florida,2009 Rd. 5(Drafted as TE),Philadelphia EaglesDetroit LionsDenver Broncos,"2x National Champion (2006, 2008)",2003
Nate Longshore,California,Undrafted,None,2006 Holiday BowlCo-Offensive MVP,2003
Anthony Morelli,Penn State,Undrafted,Arizona Cardinals,None,2003
Chase Patton,Missouri,Undrafted,None,None,2003
Bobby Reid,Oklahoma StateTexas Southern,Undrafted,None,None,2003
Matt Tuiasosopo,Washington,Undrafted,None,Elite 11 co-MVP,2003
Drew Weatherford,Florida State,Undrafted,None,None,2003
Harrison Beck,NebraskaNC StateNorth Alabama,Undrafted,None,None,2004
Jake Christensen,IowaEastern Illinois,Undrafted,None,None,2004
Joe Cox,Georgia,Undrafted,None,None,2004
Jonathan Crompton,Tennessee,2010 Rd. 5,San Diego ChargersNew England PatriotsTampa Bay BuccaneersWashington Redskins[43],None,2004
Chase Daniel,Missouri,Undrafted,Washington RedskinsNew Orleans SaintsKansas City ChiefsPhiladelphia Eagles[44]Chicago Bears[45]Detroit LionsLos Angeles Chargers,2007Heisman TrophyFinalist2007Big 12 Offensive Player of the Year,2004
Jonathan Garner,Georgia TechMarshall,Undrafted,None,None,2004
Arkelon Hall,Washington StateCollege of the SequoiasMemphis,Undrafted,None,None,2004
Ryan Perrilloux,LSUJacksonville State[46],Undrafted,New York Giants[46],2004Hall Trophy2004 USA Today National Offensive High School Player of the Year2007 National Champion,2004
Kyle Reed,CaliforniaSan Jose State,Undrafted,None,None,2004
Mark Sanchez,USC,2009 Rd. 1,New York JetsPhiladelphia EaglesDenver BroncosDallas CowboysChicago Bears[47]Washington Redskins,Elite 11 MVP2008 All-Pac-10 First Team2009 Rose BowlOffensive MVP,2004
Rob Schoenhoft,Ohio StateDelaware[48],Undrafted,None,None,2004
Willie Tuitama,Arizona,Undrafted,None,2008 Las Vegas BowlMVP,2004
Neil Caudle,Auburn,Undrafted,None,2010 National Champion,2005
Pat Devlin,Penn StateDelaware[50],Undrafted,Miami DolphinsMinnesota VikingsChicago BearsCleveland Browns[50],2010CAAOffensive Player of the Year2010ECACAll-East Offensive Player of the Year,2005
Zach Frazer,Notre DameConnecticut,Undrafted,None,None,2005
Josh Freeman,Kansas State,2009 Rd. 1,Tampa Bay BuccaneersMinnesota VikingsNew York GiantsMiami DolphinsIndianapolis Colts[51],None,2005
Cody Hawkins,Colorado,Undrafted,None,None,2005
Jake Locker,Washington,2011 Rd. 1,Tennessee Titans[52],2007Pac-10 Freshman of the Year,2005
Mitch Mustain,ArkansasUSC[53],Undrafted,None,2005Hall Trophy2005 USA Today National Offensive High School Player of the Year2006Gatorade National Player of the Year,2005
Kevin Riley,California,Undrafted,None,2007 Armed Forces BowlMVP,2005
Jevan Snead,TexasOle Miss[54],Undrafted,Tampa Bay Buccaneers[54],None,2005
Matthew Stafford,Georgia,2009 Rd. 1,Detroit Lions[55]Los Angeles Rams[56],"Elite 11 MVP2006 Chick-fil-A BowlMVP2008 All-SEC Second Team by Coaches and AP2009 Capital One BowlMVP2009 NFL DraftNumber One Overall Selection2011 4th quarterback in NFL history to throw over 5,000 yards in a single seasonSuper Bowl Champion",2005
Tim Tebow,Florida,2010 Rd. 1,Denver BroncosNew York JetsNew England PatriotsPhiladelphia Eagles[57]Jacksonville Jaguars(TE),"2007Heisman Trophy2007Associated Press College Football Player of the Year Award2007College Football Quarterback of the Year Award2xMaxwell Award(2007, 2008)2007Davey O'Brien Award2007Sullivan Award2008Manning Award2008Wuerffel Trophy2x National Champion (2006, 2008)2008, 2009Heisman TrophyFinalist2009 BCS National Championship GameMVP2010 Sugar BowlMVP",2005
Isiah Williams,Illinois,Undrafted,None,2008 All-Big Ten Second Team by Media,2005
Rontrell Bailey,Ouachita BaptistArkansas–Pine Bluff,Undrafted,None,None,2006
John Brantley,Florida,Undrafted,Baltimore Ravens,Elite 11 MVP2007Gatorade National Player of the Year2008 National Champion,2006
Aaron Corp,USCRichmond[59],Undrafted,Buffalo BillsDallas CowboysMiami Dolphins[59],None,2006
Stephen Garcia,South Carolina,Undrafted,None,None,2006
Logan Gray,GeorgiaColorado,Undrafted,None,None,2006
Willy Korn,ClemsonMarshall[60]North Greenville[61],Undrafted,None,None,2006
Peter Lalich,VirginiaOregon StateCalifornia (PA)[62],Undrafted,None,None,2006
Jarrett Lee,LSU,Undrafted,San Diego Chargers,2007 National Champion,2006
Ryan Mallett,MichiganArkansas,2011 Rd. 3,New England PatriotsHouston TexansBaltimore Ravens[63],2010 Premier Player of College Football Trophy Winner2009 All-SEC Second Team by Coaches and AP2010 Liberty BowlMVP2010 All-SEC Second Team by Coaches and AP,2006
Brock Mansion,California,Undrafted,None,None,2006
Keith Nichol,OklahomaMichigan State,Undrafted,None,None,2006
Tyrod Taylor,Virginia Tech,2011 Rd. 6,Baltimore RavensBuffalo BillsCleveland Browns[64]Los Angeles ChargersHouston TexansNew York Giants,2010ACC Football Player of the Year2010ACC Offensive Player of the YearSuper Bowl XLVIIChampion,2006
Nick Crissman,UCLA,Undrafted,None,None,2007
Dayne Crist,Notre DameKansas[66],Undrafted,Baltimore Ravens[66],None,2007
Blaine Gabbert,Missouri,2011 Rd. 1,Jacksonville JaguarsSan Francisco 49ersArizona Cardinals[67]Tennessee TitansTampa Bay Buccaneers,Elite 11 MVPSuper Bowl champion (2020),2007
Mike Glennon,NC State,2013 Rd. 3,Tampa Bay BuccaneersChicago BearsArizona Cardinals[68]Tennessee TitansTampa Bay BuccaneersJacksonville JaguarsNew York Giants,None,2007
Jacory Harris,Miami (FL),Undrafted,Philadelphia Eagles,None,2007
Star Jackson,AlabamaGeorgia State,Undrafted,None,None,2007
Landry Jones,Oklahoma,2013 Rd. 4,Pittsburgh Steelers[69]Jacksonville JaguarsOakland Raiders,2010Sammy Baugh Trophy2011 Fiesta BowlOffensive MVP,2007
Andrew Luck,Stanford,2012 Rd. 1,Indianapolis Colts[70],"2010Heisman TrophyFinalist2011 Orange BowlMVP2011Heisman TrophyFinalist2011Maxwell Award2011Walter Camp Award2011Johnny Unitas Golden Arm Award2xPac-12 Offensive Player of the Year(2010, 2011)2012 NFL DraftNumber One Overall Selection",2007
EJ Manuel,Florida State,2013 Rd. 1,Buffalo BillsOakland Raiders[71],2010 Gator BowlMVP2012 All-ACC Second Team by Coaches and Media,2007
Kyle Parker,Clemson,Undrafted,None,None,2007
Sean Renfree,Duke,2013 Rd. 7,Atlanta FalconsTampa Bay Buccaneers[72],None,2007
John Wienke,Iowa,Undrafted,None,None,2007
Tajh Boyd,Clemson,2014 Rd. 6,New York JetsPittsburgh Steelers,2011 All-ACC First Team2012ACC Football Player of the Year2012ACC Offensive Player of the Year,2008
Richard Brehaut,UCLA,Undrafted,None,None,2008
Allan Bridgford,CaliforniaSouthern Miss,Undrafted,None,None,2008
Raymond Cotton,Ole MissSouth AlabamaMississippi Gulf Coast CCBelhavenMississippi College[74],Undrafted,None,None,2008
Garrett Gilbert,TexasSMU,2014 Rd. 6,St. Louis RamsNew England PatriotsDetroit LionsOakland RaidersCarolina Panthers[75]Cleveland BrownsDallas Cowboys,2008 USA Today National Offensive High School Player of the Year2009Gatorade National Player of the Year,2008
Andrew Maxwell,Michigan State,Undrafted,None,None,2008
A. J. McCarron,Alabama,2014 Rd. 5,Cincinnati BengalsBuffalo Bills[76]Oakland RaidersHouston TexansAtlanta Falcons,"2012 BCS National Championship GameOffensive MVP2013 Maxwell Award Winner2013 Heisman Trophy Finalist2013 Johnny Unitas Golden Arm Award Winner2012 All-SEC Second Team by CoachesAP 3 time national champion (2009, 2011, 2012)",2008
Zach Mettenberger,GeorgiaButler CCLSU[77],2014 Rd. 6,Tennessee TitansSan Diego ChargersPittsburgh Steelers[78],None,2008
Aaron Murray,Georgia,2014 Rd. 5,Kansas City ChiefsArizona CardinalsPhiladelphia EaglesLos Angeles Rams[79],"Elite 11 MVP2011 All-SEC Second Team by Coaches and AP2013 Capital One Bowl MVPAll-time SEC Passing Touchdown LeaderAll-time SEC Career Passing Yards LeaderFirst SEC QB to pass for 3,000yds in 4 straight seasons",2008
Bryn Renner,North Carolina,Undrafted,Denver BroncosBaltimore RavensTennessee TitansSan Diego ChargersPittsburgh Steelers[80],None,2008
Tom Savage,RutgersArizonaPittsburgh[81],2014 Rd. 4,Houston Texans[82]New Orleans SaintsSan Francisco 49ersCincinnati BengalsDetroit Lions,None,2008
Geno Smith,West Virginia,2013 Rd. 2,New York JetsNew York GiantsLos Angeles Chargers[83]Seattle Seahawks,2010 All-Big East Conference Second Team2011 All-Big East Conference First Team2012 Orange BowlMost Valuable Player2012 All-Big 12 Conference Second Team2022 NFL Completion Percentage leader2022 Pro BowlSelection2022 NFL Comeback Player of the Year,2008
Blake Bell,Oklahoma,2015 Rd. 4(Drafted asTE),San Francisco 49ersMinnesota Vikings[86]Jacksonville JaguarsDallas CowboysKansas City Chiefs,2011 Insight BowlOffensive MVP,
Joe Boisture,Michigan StateSaginaw Valley State,Undrafted,None,None,2009
Rob Bolden,Penn StateLSUEastern Michigan[87],Undrafted,None,None,2009
Tyler Bray,Tennessee,Undrafted,Kansas City ChiefsChicago Bears[88],None,2009
Barry Brunetti,West VirginiaOle Miss,Undrafted,None,None,2009
Devin Gardner,Michigan,Undrafted,New England PatriotsPittsburgh Steelers,None,2009
Jake Heaps,BYUKansasMiami (FL)[89],Undrafted,New York JetsSeattle Seahawks[89],Elite 11 MVP2010 New Mexico BowlMVP,2009
Austin Hinder,California,Undrafted,None,None,2009
Nick Montana,WashingtonMt. San AntonioTulane[90],Undrafted,None,None,2009
Jesse Scroggins,USCEl CaminoArizonaLindenwood[91],Undrafted,None,None,2009
